Term,Value
nickstevenson63,48.0
18c,16.107
secular,1.56
trees,1.209
katehoeymp,1.365
guyverhofstadt,14.196
determines,0.154
arron_banks,86.172
75nw1j2ib,0.473
brittania,6.741
gospel,9.64
river,2.997
hinder,9.64
set,1.007
art,10.989
rjspzi,8.307
culture,10.032
see,16.12
migration,13.5
crown_cardinal,3.003
lisbon,11.088
knees,8.316
eureferendum,9.372
expert,1.852
movie,24.954
currently,0.832
unions,3.807
won,19.044
fancyacademic,2.337
probably,19.173
numerous,19.647
corruption,1.917
mr__xyz,48.002
madefromrome,10.23
paisley,5.976
europa,9.713
iron,25.875
unconscious,0.504
1no4rxt,3.9
opposition,18.528
bronze,10.974
c,11.153
last,129.789
foreign,2.774
roman,2977.755
became,13.695
pdf,1.026
whole,12.723
liked,1.682
uz1j309bhtw,14.697
point,22.613
simple,11.952
narrativety,6.993
likes,13.347
church,11.988
leaveeu,9.099
duh,8.964
decline,18.403
described,1.584
create,0.385
political,56.565
due,21.505
damn,2.079
ireland,13.337
sws,4.988
assassinated,0.16
po,7.273
pm,20.764
ivoted,9.99
jesuit,6.237
banislam,1.5
modelling,5.577
else,4.472
fund,1.513
understand,22.125
enoughshows,5.751
look,2.649
socialist,0.997
governor,5.229
nfergus,0.168
guide,7.866
kingdom,39.627
voters,9.603
owen,0.536
fantasticlife,10.209
tacoma,13.5
funny,27.808
italy,2.634
anymore,4.472
james,1.809
elevated,2.7
firearms,2.184
peoples,7.593
higher,19.647
used,20.7
flooded,1.141
blair,5.112
yesterday,9.009
alert,13.104
uses,4.851
sciencewithstyle,5.67
brussels,29.481
euro,3.846
cllrbsilvester,1.155
poland,1.383
person,1.065
edge,0.211
regulating,1.809
ambassador,12.567
eupol,2.184
englishseaside1,17.472
1787,1.809
reincarnated,10.164
prince,1.784
letting,7.593
cut,0.268
cuz,0.667
cue,13.5
labour,0.214
o6236ja5fm,1.807
michaelemann,8.964
reinstate,5.976
excited,6.513
australia,0.067
march,2.013
big,22.308
utm_source,6.995
bitchslap,7.029
foreigners,9.372
dvatw,1.365
bit,72.1
projects,15.165
d,3.669
semi,1.56
multicultural,10.975
boristrump,4.032
arthur,7.031
continue,18.44
eec,4.326
sketch,13.5
google,10.374
d3n8a8pro7vhmx,0.41
primlystable,16.127
back,71.953
strongest,4.8
economic,3.216
reconstituted,5.58
per,17.7
religion,5.751
connecting,2.186
epic,8.928
temple,0.758
either,3.216
run,13.524
300,3.984
bi,5.112
step,2.16
respite,1.751
gibbons,17.7
anything,7.47
tracing,1.786
ids,4.368
simulation,0.372
classics,7.866
block,10.374
seeing,12.24
recreate,11.614
nonsense,1.636
nerveless,1.809
appropriate,17.169
universalis,6.39
lesson,11.088
apparently,7.47
long,11.134
occupy,1.005
erasmus,10.224
twitter,53.538
opens,11.088
rees,0.536
byzantine,3.5
jewish,8.017
collapsed,45.791
immigration,21.308
hoped,0.415
line,11.088
info,1.637
nuremberg,1.005
å,0.649
calles,0.356
allegory,17.472
us,43.072
planet,2.22
sanjeevsanyal,13.695
uk,257.674
personnaly,8.309
ue,3.9
similar,32.032
called,23.056
davidallengreen,19.647
1700,3.237
takecontrol,5.751
single,22.053
diverse,8.311
home,10.559
bremont,9.462
1nscs18,4.473
echo,0.558
aipac,14.834
peace,4.728
backs,0.28
200s,5.31
politicians,0.372
actors,4.465
indy100,3.323
euref,53.324
depicting,10.974
chocolate,17.7
bcoz,22.977
ago,15.051
new_europe,2.079
age,0.63
youtube,11.143
superstate,11.655
2000,1.155
2006,7.56
hello,8.305
gu,10.314
zerohedge,3.408
martinselmayr,4.851
29vumvt,12.012
gb,24.036
mansplained,14.784
go,47.433
gl,0.735
disintegration,0.364
stop_the_eu,4.851
giles_fraser,0.398
fascist,4.354
worldviews,2.184
include,10.224
euroguido,9.0
outside,0.885
_jeffguo,2.075
foretell,8.844
accuse,17.472
telling,10.639
exits,10.989
vso0j1hxpmi,0.522
notes,13.607
michael,1.026
try,12.183
reich,20.742
makebritaingreatagain,11.25
û,52.273
ûó,9.663
2mar,2.063
bleeding,14.196
among,9.852
mural,1.593
video,21.483
uncomfortable,34.5
trend_auditor,3.441
beajayemac,17.181
click,11.763
index,0.959
letts,1.005
colonel,0.144
ukip,45.98
rolo_tamasi,18.315
rotten,8.316
pontifex,6.237
scandiwegianwho,15.939
jesuits,6.237
1400,12.213
trollulike,1.925
body,1.809
chose,2.142
brilliantmaps,17.7
following,36.525
let,24.222
sink,9.372
others,9.897
sexy,10.374
extreme,18.837
ûªs,38.092
great,13.703
talent,18.837
metro,7.68
larger,1.072
leaving,44.584
time2brexit,2.079
empirethe,3.003
opinion,2.131
delays,18.315
exetercigh,7.68
romainvicta,1.321
heart,2.184
egypt,68.931
win,0.504
wit,10.989
comers,0.201
31099,2.067
28s00eu,9.462
usa,6.206
archbishop,2.107
pwnallthethings,10.647
next,28.431
doubt,12.474
historically,0.938
ohboywhatashot,2.7
